variable,level,primary_frame_value,primary_frame_pct,primary_frame_display,admission_linked_value,admission_linked_pct,admission_linked_display,full_cohort_value,full_cohort_pct,full_cohort_display
Organism (pathogenic isolates; cases may have >1),KLEBSIELLA OXYTOCA,30.0,3.0,30 (3.0%),37.0,1.2,37 (1.2%),108.0,1.4,108 (1.4%)
Organism (pathogenic isolates; cases may have >1),PROTEUS MIRABILIS,26.0,2.6,26 (2.6%),32.0,1.0,32 (1.0%),152.0,1.9,152 (1.9%)
Organism (pathogenic isolates; cases may have >1),ENTEROBACTER AEROGENES,23.0,2.3,23 (2.3%),26.0,0.8,26 (0.8%),49.0,0.6,49 (0.6%)
Organism (pathogenic isolates; cases may have >1),ENTEROBACTER CLOACAE,22.0,2.2,22 (2.2%),26.0,0.8,26 (0.8%),51.0,0.7,51 (0.7%)
Organism (pathogenic isolates; cases may have >1),CITROBACTER FREUNDII COMPLEX,20.0,2.0,20 (2.0%),22.0,0.7,22 (0.7%),45.0,0.6,45 (0.6%)
Organism (pathogenic isolates; cases may have >1),MORGANELLA MORGANII,8.0,0.8,8 (0.8%),11.0,0.4,11 (0.4%),38.0,0.5,38 (0.5%)
Organism (pathogenic isolates; cases may have >1),STAPH AUREUS COAG +,0.0,0.0,0 (0.0%),836.0,26.9,836 (26.9%),2032.0,26.1,2032 (26.1%)
Organism (pathogenic isolates; cases may have >1),ENTEROCOCCUS FAECIUM,0.0,0.0,0 (0.0%),409.0,13.2,409 (13.2%),509.0,6.5,509 (6.5%)
Organism (pathogenic isolates; cases may have >1),ENTEROCOCCUS FAECALIS,0.0,0.0,0 (0.0%),242.0,7.8,242 (7.8%),506.0,6.5,506 (6.5%)
Organism (pathogenic isolates; cases may have >1),VIRIDANS STREPTOCOCCI,0.0,0.0,0 (0.0%),76.0,2.4,76 (2.4%),251.0,3.2,251 (3.2%)
Organism (pathogenic isolates; cases may have >1),PSEUDOMONAS AERUGINOSA,0.0,0.0,0 (0.0%),123.0,4.0,123 (4.0%),228.0,2.9,228 (2.9%)
Organism (pathogenic isolates; cases may have >1),BETA STREPTOCOCCUS GROUP B,0.0,0.0,0 (0.0%),48.0,1.5,48 (1.5%),207.0,2.7,207 (2.7%)
Organism (pathogenic isolates; cases may have >1),STREPTOCOCCUS ANGINOSUS (MILLERI) GROUP,0.0,0.0,0 (0.0%),58.0,1.9,58 (1.9%),170.0,2.2,170 (2.2%)
Organism (pathogenic isolates; cases may have >1),STREPTOCOCCUS PNEUMONIAE,0.0,0.0,0 (0.0%),31.0,1.0,31 (1.0%),165.0,2.1,165 (2.1%)
Organism (pathogenic isolates; cases may have >1),other organisms (aggregate case-count),40.0,4.0,40 (4.0%),298.0,9.6,298 (9.6%),903.0,11.6,903 (11.6%)
Organism (pathogenic isolates; cases may have >1),no pathogenic isolate after contaminant/non-bacterial filter,0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%)
Organism (pathogenic isolates; cases may have >1),cases with >1 distinct pathogenic organism,36.0,3.6,36 (3.6%),145.0,4.7,145 (4.7%),398.0,5.1,398 (5.1%)
Gram class of case,negative,993.0,100.0,993 (100.0%),1261.0,40.6,1261 (40.6%),3446.0,44.2,3446 (44.2%)
Gram class of case,positive,0.0,0.0,0 (0.0%),1765.0,56.8,1765 (56.8%),4090.0,52.5,4090 (52.5%)
Gram class of case,mixed/other,0.0,0.0,0 (0.0%),81.0,2.6,81 (2.6%),260.0,3.3,260 (3.3%)
Gram class of case,no pathogen,0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%),0.0,0.0,0 (0.0%)
